2PE 1:18.11 αὐτῷ P-DSM 846 αὐτός ! αὐτός
2PE 1:18.12 ὄντες V-PAP-NPM 1510 εἰμί ! εἰμί
2PE 1:18.13 ἐν PREP 1722 ἐν ! ἐν
2PE 1:18.14 τῷ T-DSN 3588 ὁ ! ὁ
2PE 1:18.15 ὄρει N-DSN 3735 ὄρος ! ὄρος
2PE 1:18.16 τῷ T-DSN 3588 ὁ ! ὁ
2PE 1:18.17 ἁγίῳ. A-DSN 40 ἅγιος ! ἅγιος
2PE 1:19.1 καὶ CONJ 2532 καί ! καί
2PE 1:19.2 ἔχομεν V-PAI-1P 2192 ἔχω ! ἔχω
2PE 1:19.3 βεβαιότερον A-ASM-C 949 βέβαιος ! βέβαιος
2PE 1:19.4 τὸν T-ASM 3588 ὁ ! ὁ
2PE 1:19.5 προφητικὸν A-ASM 4397 προφητικός ! προφητικός
2PE 1:19.6 λόγον, N-ASM 3056 λόγος ! λόγος
2PE 1:19.7 ᾧ R-DSM 3739 ὅς ! ὅς
2PE 1:19.8 καλῶς ADV 2573 καλῶς ! καλῶς
2PE 1:19.9 ποιεῖτε V-PAI-2P 4160 ποιέω ! ποιέω
2PE 1:19.10 προσέχοντες V-PAP-NPM 4337 προσέχω ! προσέχω
2PE 1:19.11 ὡς ADV 5613 ὡς ! ὡς
2PE 1:19.12 λύχνῳ N-DSM 3088 λύχνος ! λύχνος
2PE 1:19.13 φαίνοντι V-PEP-DSM 5316 φαίνω ! φαίνω
2PE 1:19.14 ἐν PREP 1722 ἐν ! ἐν
2PE 1:19.15 αὐχμηρῷ A-DSM 850 αὐχμηρός ! αὐχμηρός
2PE 1:19.16 τόπῳ, N-DSM 5117 τόπος ! τόπος
2PE 1:19.17 ἕως ADV 2193 ἕως ! ἕως
2PE 1:19.18 οὗ R-GSM 3739 ὅς ! ὅς
2PE 1:19.19 ἡμέρα N-NSF 2250 ἡμέρα ! ἡμέρα
2PE 1:19.20 διαυγάσῃ V-AAS-3S 1306 διαυγάζω ! διαυγάζω
2PE 1:19.21 καὶ CONJ 2532 καί ! καί
2PE 1:19.22 φωσφόρος A-NSM 5459 φωσφόρος ! φωσφόρος
2PE 1:19.23 ἀνατείλῃ V-AAS-3S 393 ἀνατέλλω ! ἀνατέλλω
2PE 1:19.24 ἐν PREP 1722 ἐν ! ἐν
2PE 1:19.25 ταῖς T-DPF 3588 ὁ ! ὁ
2PE 1:19.26 καρδίαις N-DPF 2588 καρδία ! καρδία
2PE 1:19.27 ὑμῶν· P-2GP 5210 ὑμεῖς ! σύ
2PE 1:20.1 τοῦτο D-ASN 3778 οὗτος ! οὗτος
2PE 1:20.2 πρῶτον ADV-S 4412 πρῶτον ! πρῶτος
2PE 1:20.3 γινώσκοντες, V-PAP-NPM 1097 γινώσκω ! γινώσκω
