RE 1:9.12 βασιλείᾳ N-DSF 932 βασιλεία ! βασιλεία
RE 1:9.13 καὶ CONJ 2532 καί ! καί
RE 1:9.14 ὑπομονῇ N-DSF 5281 ὑπομονή ! ὑπομονή
RE 1:9.15 ἐν PREP 1722 ἐν ! ἐν
RE 1:9.16 Ἰησοῦ, N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
RE 1:9.17 ἐγενόμην V-2ADI-1S 1096 γίνομαι ! γίνομαι
RE 1:9.18 ἐν PREP 1722 ἐν ! ἐν
RE 1:9.19 τῇ T-DSF 3588 ὁ ! ὁ
RE 1:9.20 νήσῳ N-DSF 3520 νῆσος ! νῆσος
RE 1:9.21 τῇ T-DSF 3588 ὁ ! ὁ
RE 1:9.22 καλουμένῃ V-PPP-DSF 2564 καλέω ! καλέω
RE 1:9.23 Πάτμῳ N-DSF 3963 Πάτμος ! Πάτμος
RE 1:9.24 διὰ PREP 1223 διά ! διά
RE 1:9.25 τὸν T-ASM 3588 ὁ ! ὁ
RE 1:9.26 λόγον N-ASM 3056 λόγος ! λόγος
RE 1:9.27 τοῦ T-GSM 3588 ὁ ! ὁ
RE 1:9.28 θεοῦ N-GSM 2316 θεός ! θεός
RE 1:9.29 καὶ CONJ 2532 καί ! καί
RE 1:9.30 διὰ PREP 1223 διά ! διά
RE 1:9.31 τὴν T-ASF 3588 ὁ ! ὁ
RE 1:9.32 μαρτυρίαν N-ASF 3141 μαρτυρία ! μαρτυρία
RE 1:9.33 Ἰησοῦ. N-GSM 2424 Ἰησοῦς ! Ἰησοῦς
RE 1:10.1 ἐγενόμην V-2ADI-1S 1096 γίνομαι ! γίνομαι
RE 1:10.2 ἐν PREP 1722 ἐν ! ἐν
RE 1:10.3 πνεύματι N-DSN 4151 πνεῦμα ! πνεῦμα
RE 1:10.4 ἐν PREP 1722 ἐν ! ἐν
RE 1:10.5 τῇ T-DSF 3588 ὁ ! ὁ
RE 1:10.6 κυριακῇ A-DSF 2960 κυριακός ! κυριακός
RE 1:10.7 ἡμέρᾳ, N-DSF 2250 ἡμέρα ! ἡμέρα
RE 1:10.8 καὶ CONJ 2532 καί ! καί
RE 1:10.9 ἤκουσα V-AAI-1S 191 ἀκούω ! ἀκούω
RE 1:10.10 ὀπίσω ADV 3694 ὀπίσω ! ὀπίσω
RE 1:10.11 μου P-1GS 1473 ἐγώ ! ἐγώ
RE 1:10.12 φωνὴν N-ASF 5456 φωνή ! φωνή
RE 1:10.13 μεγάλην A-ASF 3173 μέγας ! μέγας
RE 1:10.14 ὡς ADV 5613 ὡς ! ὡς
RE 1:10.15 σάλπιγγος N-GSF 4536 σάλπιγξ ! σάλπιγξ
RE 1:11.1 λεγούσης, V-PAP-GSF 3004 λέγω ! λέγω
RE 1:11.2 ὃ R-ASN 3739 ὅς ! ὅς
RE 1:11.3 βλέπεις V-PAI-2S 991 βλέπω ! βλέπω
RE 1:11.4 γράψον V-AAM-2S 1125 γράφω ! γράφω
RE 1:11.5 εἰς PREP 1519 εἰς ! εἰς
RE 1:11.6 βιβλίον N-ASN 975 βιβλίον ! βιβλίον
RE 1:11.7 καὶ CONJ 2532 καί ! καί
RE 1:11.8 πέμψον V-AAM-2S 3992 πέμπω ! πέμπω
RE 1:11.9 ταῖς T-DPF 3588 ὁ ! ὁ
RE 1:11.10 ἑπτὰ A-NUI 2033 ἑπτά ! ἑπτά
RE 1:11.11 ἐκκλησίαις, N-DPF 1577 ἐκκλησία ! ἐκκλησία
RE 1:11.12 εἰς PREP 1519 εἰς ! εἰς
RE 1:11.13 Ἔφεσον N-ASF 2181 Ἔφεσος ! Ἔφεσος
RE 1:11.14 καὶ CONJ 2532 καί ! καί
RE 1:11.15 εἰς PREP 1519 εἰς ! εἰς
RE 1:11.16 Ζμύρναν N-ASF 4667 Σμύρνα ! Σμύρνα
RE 1:11.17 καὶ CONJ 2532 καί ! καί
RE 1:11.18 εἰς PREP 1519 εἰς ! εἰς
RE 1:11.19 Πέργαμον N-ASF 4010 Πέργαμος ! Πέργαμος
RE 1:11.20 καὶ CONJ 2532 καί ! καί
RE 1:11.21 εἰς PREP 1519 εἰς ! εἰς
RE 1:11.22 Θυάτειρα N-APN 2363 Θυάτειρα ! Θυάτειρα
RE 1:11.23 καὶ CONJ 2532 καί ! καί
RE 1:11.24 εἰς PREP 1519 εἰς ! εἰς
RE 1:11.25 Σάρδεις N-APF 4554 Σάρδεις ! Σάρδεις
RE 1:11.26 καὶ CONJ 2532 καί ! καί
RE 1:11.27 εἰς PREP 1519 εἰς ! εἰς
RE 1:11.28 Φιλαδελφίαν N-ASF 5360 φιλαδελφία ! φιλαδελφία
RE 1:11.29 καὶ CONJ 2532 καί ! καί
RE 1:11.30 εἰς PREP 1519 εἰς ! εἰς
RE 1:11.31 Λαοδίκιαν. N-ASF 2993 Λαοδίκεια ! Λαοδίκεια
RE 1:12.1 καὶ CONJ 2532 καί ! καί
RE 1:12.2 ἐπέστρεψα V-AAI-1S 1994 ἐπιστρέφω ! ἐπιστρέφω
RE 1:12.3 βλέπειν V-PAN 991 βλέπω ! βλέπω
RE 1:12.4 τὴν T-ASF 3588 ὁ ! ὁ
RE 1:12.5 φωνὴν N-ASF 5456 φωνή ! φωνή
RE 1:12.6 ἥτις R-NSF 3748 ὅστις ! ὅστις
RE 1:12.7 ἐλάλει V-IAI-3S 2980 λαλέω ! λαλέω
RE 1:12.8 μετ’ PREP 3326 μετά ! μετά
RE 1:12.9 ἐμοῦ· P-1GS 1473 ἐγώ ! ἐγώ
RE 1:12.10 καὶ CONJ 2532 καί ! καί
RE 1:12.11 ἐπιστρέψας V-AAP-NSM 1994 ἐπιστρέφω ! ἐπιστρέφω
RE 1:12.12 εἶδον V-2AAI-1S 3708 ὁράω ! ὁράω
RE 1:12.13 ἑπτὰ A-NUI 2033 ἑπτά ! ἑπτά
RE 1:12.14 λυχνίας N-APF 3087 λυχνία ! λυχνία
