1TI 1:14.7 ἡμῶν P-1GP 2248 ἡμᾶς ! ἐγώ
1TI 1:14.8 μετὰ PREP 3326 μετά ! μετά
1TI 1:14.9 πίστεως N-GSF 4102 πίστις ! πίστις
1TI 1:14.10 καὶ CONJ 2532 καί ! καί
1TI 1:14.11 ἀγάπης N-GSF 26 ἀγάπη ! ἀγάπη
1TI 1:14.12 τῆς T-GSF 3588 ὁ ! ὁ
1TI 1:14.13 ἐν PREP 1722 ἐν ! ἐν
1TI 1:14.14 Χριστῷ N-DSM 5547 Χριστός ! Χριστός
1TI 1:14.15 Ἰησοῦ. N-DSM 2424 Ἰησοῦς ! Ἰησοῦς
1TI 1:15.1 πιστὸς A-NSM 4103 πιστός ! πιστός
1TI 1:15.2 ὁ T-NSM 3588 ὁ ! ὁ
1TI 1:15.3 λόγος N-NSM 3056 λόγος ! λόγος
1TI 1:15.4 καὶ CONJ 2532 καί ! καί
1TI 1:15.5 πάσης A-GSF 3956 πᾶς ! πᾶς
1TI 1:15.6 ἀποδοχῆς N-GSF 594 ἀποδοχή ! ἀποδοχή
1TI 1:15.7 ἄξιος, A-NSM 514 ἄξιος ! ἄξιος
1TI 1:15.8 ὅτι CONJ 3754 ὅτι ! ὅτι
1TI 1:15.9 Χριστὸς N-NSM 5547 Χριστός ! Χριστός
1TI 1:15.10 Ἰησοῦς N-NSM 2424 Ἰησοῦς ! Ἰησοῦς
1TI 1:15.11 ἦλθεν V-2AAI-3S 2064 ἔρχομαι ! ἔρχομαι
1TI 1:15.12 εἰς PREP 1519 εἰς ! εἰς
1TI 1:15.13 τὸν T-ASM 3588 ὁ ! ὁ
1TI 1:15.14 κόσμον N-ASM 2889 κόσμος ! κόσμος
1TI 1:15.15 ἁμαρτωλοὺς A-APM 268 ἁμαρτωλός ! ἁμαρτωλός
1TI 1:15.16 σῶσαι, V-AAN 4982 σώζω ! σῴζω
1TI 1:15.17 ὧν R-GPM 3739 ὅς ! ὅς
1TI 1:15.18 πρῶτός A-NSM-S 4413 πρῶτος ! πρῶτος
1TI 1:15.19 εἰμι V-PAI-1S 1510 εἰμί ! εἰμί
1TI 1:15.20 ἐγώ· P-1NS 1473 ἐγώ ! ἐγώ
1TI 1:16.1 ἀλλὰ CONJ 235 ἀλλά ! ἀλλά
1TI 1:16.2 διὰ PREP 1223 διά ! διά
1TI 1:16.3 τοῦτο D-ASN 3778 οὗτος ! οὗτος
1TI 1:16.4 ἠλεήθην, V-API-1S 1653 ἐλεέω ! ἐλεέω
1TI 1:16.5 ἵνα CONJ 2443 ἵνα ! ἵνα
1TI 1:16.6 ἐν PREP 1722 ἐν ! ἐν
1TI 1:16.7 ἐμοὶ P-1DS 1473 ἐγώ ! ἐγώ
1TI 1:16.8 πρώτῳ A-DSM-S 4413 πρῶτος ! πρῶτος
1TI 1:16.9 ἐνδείξηται V-AMS-3S 1731 ἐνδείκνυμι ! ἐνδείκνυμι
1TI 1:16.10 Ἰησοῦς N-NSM 2424 Ἰησοῦς ! Ἰησοῦς
1TI 1:16.11 Χριστὸς N-NSM 5547 Χριστός ! Χριστός
1TI 1:16.12 τὴν T-ASF 3588 ὁ ! ὁ
1TI 1:16.13 ἅπασαν A-ASF 537 ἅπας ! ἅπας
1TI 1:16.14 μακροθυμίαν, N-ASF 3115 μακροθυμία ! μακροθυμία
1TI 1:16.15 πρὸς PREP 4314 πρός ! πρός
1TI 1:16.16 ὑποτύπωσιν N-ASF 5296 ὑποτύπωσις ! ὑποτύπωσις
1TI 1:16.17 τῶν T-GPM 3588 ὁ ! ὁ
1TI 1:16.18 μελλόντων V-PAP-GPM 3195 μέλλω ! μέλλω
1TI 1:16.19 πιστεύειν V-PAN 4100 πιστεύω ! πιστεύω
1TI 1:16.20 ἐπ' PREP 1909 ἐπί ! ἐπί
1TI 1:16.21 αὐτῷ P-DSM 846 αὐτός ! αὐτός
1TI 1:16.22 εἰς PREP 1519 εἰς ! εἰς
1TI 1:16.23 ζωὴν N-ASF 2222 ζωή ! ζωή
1TI 1:16.24 αἰώνιον. A-ASF 166 αἰώνιος ! αἰώνιος
1TI 1:17.1 τῷ T-DSM 3588 ὁ ! ὁ
1TI 1:17.2 δὲ CONJ 1161 δέ ! δέ
1TI 1:17.3 βασιλεῖ N-DSM 935 βασιλεύς ! βασιλεύς
1TI 1:17.4 τῶν T-GPM 3588 ὁ ! ὁ
1TI 1:17.5 αἰώνων, N-GPM 165 αἰών ! αἰών
1TI 1:17.6 ἀφθάρτῳ, A-DSM 862 ἄφθαρτος ! ἄφθαρτος
1TI 1:17.7 ἀοράτῳ, A-DSM 517 ἀόρατος ! ἀόρατος
1TI 1:17.8 μόνῳ A-DSM 3441 μόνος ! μόνος
1TI 1:17.9 θεῷ, N-DSM 2316 θεός ! θεός
1TI 1:17.10 τιμὴ N-NSF 5092 τιμή ! τιμή
1TI 1:17.11 καὶ CONJ 2532 καί ! καί
1TI 1:17.12 δόξα N-NSF 1391 δόξα ! δόξα
1TI 1:17.13 εἰς PREP 1519 εἰς ! εἰς
1TI 1:17.14 τοὺς T-APM 3588 ὁ ! ὁ
1TI 1:17.15 αἰῶνας N-APM 165 αἰών ! αἰών
1TI 1:17.16 τῶν T-GPM 3588 ὁ ! ὁ
1TI 1:17.17 αἰώνων· N-GPM 165 αἰών ! αἰών
1TI 1:17.18 ἀμήν. HEB 281 ἀμήν ! ἀμήν
1TI 1:18.1 Ταύτην D-ASF 3778 οὗτος ! οὗτος
1TI 1:18.2 τὴν T-ASF 3588 ὁ ! ὁ
1TI 1:18.3 παραγγελίαν N-ASF 3852 παραγγελία ! παραγγελία
1TI 1:18.4 παρατίθεμαί V-PMI-1S 3908 παρατίθημι ! παρατίθημι
1TI 1:18.5 σοι, P-2DS 4771 σύ ! σύ
1TI 1:18.6 τέκνον N-VSN 5043 τέκνον ! τέκνον
1TI 1:18.7 Τιμόθεε, N-VSM 5095 Τιμόθεος ! Τιμόθεος
1TI 1:18.8 κατὰ PREP 2596 κατά ! κατά
1TI 1:18.9 τὰς T-APF 3588 ὁ ! ὁ
1TI 1:18.10 προαγούσας V-PAP-APF 4254 προάγω ! προάγω
1TI 1:18.11 ἐπὶ PREP 1909 ἐπί ! ἐπί
1TI 1:18.12 σὲ P-2AS 4771 σύ ! σύ
1TI 1:18.13 προφητείας, N-APF 4394 προφητεία ! προφητεία
1TI 1:18.14 ἵνα CONJ 2443 ἵνα ! ἵνα
1TI 1:18.15 στρατεύῃ V-PMS-2S 4754 στρατεύομαι ! στρατεύω
1TI 1:18.16 ἐν PREP 1722 ἐν ! ἐν
1TI 1:18.17 αὐταῖς P-DPF 846 αὐτός ! αὐτός
1TI 1:18.18 τὴν T-ASF 3588 ὁ ! ὁ
1TI 1:18.19 καλὴν A-ASF 2570 καλός ! καλός
1TI 1:18.20 στρατείαν, N-ASF 4752 στρατεία ! στρατεία
1TI 1:19.1 ἔχων V-PAP-NSM 2192 ἔχω ! ἔχω
1TI 1:19.2 πίστιν N-ASF 4102 πίστις ! πίστις
1TI 1:19.3 καὶ CONJ 2532 καί ! καί
1TI 1:19.4 ἀγαθὴν A-ASF 18 ἀγαθός ! ἀγαθός
1TI 1:19.5 συνείδησιν, N-ASF 4893 συνείδησις ! συνείδησις
1TI 1:19.6 ἥν R-ASF 3739 ὅς ! ὅς
1TI 1:19.7 τινες X-NPM 5100 τὶς ! τὶς
1TI 1:19.8 ἀπωσάμενοι V-ADP-NPM 683 ἀπωθέομαι ! ἀπωθέω
1TI 1:19.9 περὶ PREP 4012 περί ! περί
1TI 1:19.10 τὴν T-ASF 3588 ὁ ! ὁ
1TI 1:19.11 πίστιν N-ASF 4102 πίστις ! πίστις
